gene_id (Stringtie_gtf)	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DG1	DG2	DG3	S1	S2	S3	S4
MSTRG.856_jg16203	443.8656731	4.143350196	0.281379609	14.72512602	4.45E-49	1.58E-46	32.80061603	56.14033806	36.69535866	751.8478253	708.5928149	834.8576906	686.125068
MSTRG.35635_jg18392	3656.8591	-2.654780435	0.180370034	-14.71852268	4.90E-49	1.72E-46	8034.163012	6309.42546	6782.667689	995.5857996	1111.518141	1137.688058	1226.965539
MSTRG.34831_jg17620	1255.300794	-6.207252569	0.421823738	-14.71527561	5.14E-49	1.79E-46	3045.487501	3081.730291	2504.671574	23.2131404	27.78795353	34.22397986	69.99111976
MSTRG.2364_jg26473	1117.281131	8.596762415	0.587949296	14.62160508	2.05E-48	7.02E-46	0	3.742689204	11.09394564	2042.756356	1853.242747	2297.155012	1612.977169
MSTRG.2394_jg26504	3026.735675	-3.336596284	0.22903665	-14.56795792	4.49E-48	1.52E-45	5802.727164	5810.15072	7102.685352	776.3505846	594.2346985	507.1371561	593.8640465
MSTRG.21192_jg33549	6537.049601	-6.426859417	0.441465568	-14.55800832	5.19E-48	1.74E-45	13294.18907	21879.01255	9888.119089	132.8307479	270.3981632	188.7504344	106.0471512
MSTRG.14442_jg21860	1268.725258	-11.38913794	0.786175139	-14.48676939	1.47E-47	4.87E-45	2864.587134	3246.408616	2765.805987	0	4.275069773	0	0
MSTRG.34041_genb_5354	1255.806001	-10.55865756	0.729747187	-14.46892533	1.90E-47	6.25E-45	1837.828456	4818.338081	2126.624041	2.579237823	2.137534887	2.074180598	1.060471512
MSTRG.38813_jg12333	1296.9078	4.60064649	0.318214793	14.45767637	2.24E-47	7.28E-45	119.2749674	92.81869226	60.59001081	1988.592361	2159.979003	2797.032536	1860.067031
MSTRG.18342_jg22730	6260.640397	-6.268563401	0.433965391	-14.44484637	2.70E-47	8.67E-45	11855.93176	12433.21354	18789.7304	257.9237823	227.6474654	178.3795314	81.65630639
MSTRG.36205_jg18887	4774.781269	-3.980049698	0.275752687	-14.43340315	3.19E-47	1.01E-44	11397.71709	11597.84531	7824.645199	508.1098511	573.9281171	730.1115704	791.1117476
MSTRG.33219_jg30263	2909.059324	6.428882647	0.446028028	14.41362928	4.25E-47	1.33E-44	44.72811277	59.13448942	71.68395645	2236.199192	4784.871844	6915.318113	6251.479561
MSTRG.8529_jg6753	8021.671911	-3.59056016	0.249915392	-14.36710294	8.32E-47	2.59E-44	15881.46191	18898.33487	15775.5907	1646.84335	1013.191536	1324.364312	1611.916698
MSTRG.30470_jg253	312.407786	-7.104093265	0.494801028	-14.35747474	9.56E-47	2.94E-44	711.6739721	505.2630425	948.9590426	5.158475645	4.275069773	6.222541793	5.302357558
MSTRG.22974_jg12962	5379.740147	-7.253644088	0.505677688	-14.34440211	1.15E-46	3.52E-44	13980.02014	9912.138088	13439.03507	144.4373181	84.43262803	69.48505002	28.63273081
MSTRG.22732_jg12728	25040.94076	-6.76814737	0.472375522	-14.32789602	1.46E-46	4.41E-44	48008.17438	68020.38213	57139.79372	514.5579456	639.1229311	773.6693629	190.8848721
MSTRG.12368_jg34727	1071.2655	-3.738369862	0.261142376	-14.31544705	1.75E-46	5.23E-44	2319.898116	2411.788923	2085.661781	183.1258854	216.959791	123.4137456	158.0102552
MSTRG.29378_jg9143	1758.661143	4.749358615	0.331856106	14.31149984	1.85E-46	5.48E-44	98.4018481	110.7836004	124.5935434	3952.681963	1800.873142	3037.637485	3185.656421
MSTRG.1516_jg7848.1	4350.597228	6.496190442	0.454627113	14.28905197	2.56E-46	7.49E-44	69.57706432	50.90057317	130.5672064	4169.33794	9437.216525	6952.653363	9643.927926
MSTRG.36429_jg19091	1663.193886	3.208751576	0.224611315	14.28579664	2.68E-46	7.77E-44	249.4834735	287.4385309	336.231891	2710.778952	3163.551632	2222.48451	2672.388209
MSTRG.11794_jg34178	5529.995805	-5.630301808	0.394371716	-14.27663693	3.06E-46	8.77E-44	12628.23717	13740.16061	11327.77188	135.4099857	193.4469072	381.64923	303.2948523
MSTRG.31252_jg990	4650.111672	4.39579599	0.308350622	14.25583632	4.12E-46	1.17E-43	267.3747186	538.1987075	313.1906193	9058.283233	7400.145778	7349.858948	7623.729696
MSTRG.31260_jg999	932.6436774	-3.438909046	0.24162283	-14.23255016	5.75E-46	1.62E-43	1856.713659	1925.987864	2031.045433	180.5466476	128.2520932	197.0471568	208.9128878
MSTRG.35199_jg17975	997.3466947	-8.993223463	0.632215826	-14.2249262	6.42E-46	1.79E-43	2768.173202	1589.894374	2604.517085	10.31695129	5.343837217	0	3.181414535
MSTRG.38102_jg11663	2281.391004	-5.458536318	0.386481655	-14.12366213	2.72E-45	7.49E-43	4375.403387	6950.92239	4173.030322	141.8580802	153.9025118	109.9315717	64.6887622
MSTRG.31084_jg832	402.3773611	-5.84310065	0.414104859	-14.11019583	3.29E-45	8.99E-43	676.88544	1080.140104	995.041586	24.50275932	16.03151165	15.55635448	8.483772092
MSTRG.5235_jg14075	5041.918833	5.280008358	0.3746693	14.09244994	4.23E-45	1.15E-42	182.8882833	253.0057902	232.119478	12816.23274	4870.373239	7906.776438	9032.035864
MSTRG.37117_jg19765	373.8637032	4.270088909	0.303379353	14.07508083	5.40E-45	1.45E-42	33.7945741	35.92981636	28.16155432	491.3448052	715.0054196	755.0017376	557.8080151
MSTRG.36398_jg19066	6549.280626	-7.192115511	0.512597236	-14.03073407	1.01E-44	2.69E-42	24131.31382	10355.27249	10943.75069	137.9892235	156.0400467	60.15123733	60.44687616
MSTRG.9720_jg24331	34136.19287	-5.739982545	0.409766376	-14.00793935	1.39E-44	3.68E-42	80465.87488	83299.53654	69370.4421	2574.079347	918.0712338	1140.799329	1184.546678
MSTRG.1753_jg8072	4542.584108	-7.299432053	0.524042923	-13.92907286	4.22E-44	1.10E-41	11717.77159	10325.33098	9487.883665	78.66675359	114.3581164	53.92869554	20.14895872
MSTRG.24255_jg35518	4289.250378	-9.730942321	0.698816265	-13.92489386	4.47E-44	1.16E-41	7206.195947	12201.16681	10570.82344	0	14.96274421	9.33381269	22.26990174
