ID	HG1
MSTRG.9892	54555
MSTRG.9891	0
MSTRG.9890	92
MSTRG.20028	453
MSTRG.20029	33
MSTRG.20024	104
MSTRG.20025	1266
MSTRG.20026	524
MSTRG.20027	0
MSTRG.20020	17
MSTRG.20021	1721
MSTRG.20022	36617
MSTRG.20023	1408
MSTRG.631	1146
MSTRG.630	10783
MSTRG.633	624
MSTRG.632	534
MSTRG.635	0
MSTRG.634	0
MSTRG.637	441
MSTRG.636	180
MSTRG.639	123
MSTRG.638	1129
MSTRG.8416	9
MSTRG.8417	0
MSTRG.8410	2531
MSTRG.8411	53
MSTRG.8412	0
MSTRG.8413	60
MSTRG.4713	0
MSTRG.4712	1007
MSTRG.4711	0
MSTRG.4710	1712
MSTRG.4717	13
MSTRG.4716	0
MSTRG.4715	1053
MSTRG.4714	77
MSTRG.4719	38
MSTRG.4718	0
MSTRG.20796	1838
MSTRG.20797	28
MSTRG.20794	164
MSTRG.20795	0
MSTRG.20792	61
MSTRG.20793	250
MSTRG.20790	0
MSTRG.20791	0
MSTRG.31677	246
MSTRG.31676	34
MSTRG.31675	0
MSTRG.31674	0
MSTRG.31673	0
MSTRG.31672	0
MSTRG.31671	1
MSTRG.20799	121
MSTRG.987	15
MSTRG.986	0
MSTRG.985	0
MSTRG.984	0
MSTRG.983	0
MSTRG.982	0
MSTRG.35709	0
MSTRG.980	37
MSTRG.35707	217
MSTRG.35706	275
MSTRG.35705	14
MSTRG.35704	0
MSTRG.35703	28
MSTRG.35702	1620
MSTRG.989	964
MSTRG.988	63
MSTRG.21773	0
MSTRG.21772	22
MSTRG.21771	0
MSTRG.21770	420
MSTRG.5394	0
MSTRG.5395	0
MSTRG.21775	0
MSTRG.21774	21
MSTRG.5398	1201
MSTRG.5399	20
MSTRG.21779	13
MSTRG.21778	355
MSTRG.24421	0
MSTRG.19764	0
MSTRG.24422	81
MSTRG.37631	0
MSTRG.37630	4
MSTRG.37633	0
MSTRG.37632	86
MSTRG.37635	0
MSTRG.37634	0
MSTRG.37637	0
MSTRG.37636	21
MSTRG.37639	475
MSTRG.37638	68
MSTRG.36940	86
MSTRG.36941	0
MSTRG.36942	0
MSTRG.36943	16
MSTRG.5978	0
MSTRG.5979	0
MSTRG.36946	53
MSTRG.36947	856
MSTRG.36948	0
MSTRG.36949	0
MSTRG.5976	226
MSTRG.5977	98
MSTRG.5970	0
MSTRG.5971	0
MSTRG.5972	0
MSTRG.5973	547
MSTRG.28446	0
MSTRG.28447	0
MSTRG.28444	0
MSTRG.28445	70
MSTRG.28442	0
MSTRG.28443	0
MSTRG.28440	3
MSTRG.28441	279
MSTRG.28448	1010
MSTRG.28449	8
MSTRG.38814	0
MSTRG.38815	0
MSTRG.38816	0
MSTRG.38817	0
MSTRG.38810	1025
MSTRG.38811	0
MSTRG.38812	0
MSTRG.38813	62
MSTRG.38818	0
MSTRG.38819	44
MSTRG.36178	0
MSTRG.37099	214
MSTRG.37098	30
MSTRG.37095	0
MSTRG.37094	0
MSTRG.37097	451
MSTRG.37096	0
MSTRG.37091	487
MSTRG.33062	148
MSTRG.37093	0
MSTRG.37092	26
MSTRG.26818	868
MSTRG.24506	40
MSTRG.33068	0
MSTRG.26812	68
MSTRG.8120	760
MSTRG.8121	57
MSTRG.8122	123
MSTRG.29315	2369
MSTRG.29314	8
MSTRG.29317	2940
MSTRG.29316	65
MSTRG.7532	5
MSTRG.7533	322
MSTRG.7530	3
MSTRG.7531	6428
MSTRG.8124	466
MSTRG.29319	0
MSTRG.29318	101
MSTRG.7538	35852
MSTRG.7539	0
MSTRG.22898	8
MSTRG.32919	8
MSTRG.32918	213
MSTRG.8126	1486
MSTRG.32913	1450
MSTRG.32912	7
MSTRG.32911	0
MSTRG.32910	1272
MSTRG.32917	52
MSTRG.32916	120
MSTRG.32915	20
MSTRG.32914	0
MSTRG.24903	2
MSTRG.24902	3
MSTRG.24901	0
MSTRG.24900	0
MSTRG.24906	6
MSTRG.18522	0
MSTRG.24302	736
MSTRG.18523	350
MSTRG.18520	252
MSTRG.6593	0
MSTRG.18521	0
