ID	S4
MSTRG.37631	0
MSTRG.37630	50
MSTRG.37633	0
MSTRG.37632	394
MSTRG.37635	0
MSTRG.37634	6
MSTRG.37637	16
MSTRG.37636	412
MSTRG.37639	1260
MSTRG.37638	1219
MSTRG.36940	4548
MSTRG.36941	0
MSTRG.36942	0
MSTRG.36943	5
MSTRG.5978	9
MSTRG.5979	542
MSTRG.36946	1101
MSTRG.36947	616
MSTRG.36948	17
MSTRG.36949	0
MSTRG.5976	21
MSTRG.5977	0
MSTRG.5970	69
MSTRG.5971	21
MSTRG.5972	0
MSTRG.5973	5352
MSTRG.28446	0
MSTRG.28447	6
MSTRG.28444	0
MSTRG.28445	725
MSTRG.28442	0
MSTRG.28443	80
MSTRG.28440	17
MSTRG.28441	3627
MSTRG.28448	1502
MSTRG.28449	0
MSTRG.38814	141
MSTRG.38815	7
MSTRG.38816	2
MSTRG.38817	310
MSTRG.38810	1580
MSTRG.38811	0
MSTRG.38812	7
MSTRG.38813	1754
MSTRG.38818	1156
MSTRG.38819	195
MSTRG.36178	0
MSTRG.37099	1035
MSTRG.37098	92
MSTRG.37095	0
MSTRG.37094	0
MSTRG.37097	329
MSTRG.37096	0
MSTRG.37091	6126
MSTRG.33062	552
MSTRG.37093	19
MSTRG.37092	186
MSTRG.26818	1922
MSTRG.24506	103
MSTRG.33068	0
MSTRG.26812	65
MSTRG.8120	760
MSTRG.8121	67
MSTRG.8122	639
MSTRG.29315	9901
MSTRG.29314	60
MSTRG.29317	1382
MSTRG.29316	747
MSTRG.7532	28
MSTRG.7533	225
MSTRG.7530	22
MSTRG.7531	7380
MSTRG.8124	724
MSTRG.29319	0
MSTRG.29318	1781
MSTRG.7538	7647
MSTRG.7539	2
MSTRG.22898	2
MSTRG.32919	20
MSTRG.32918	192
MSTRG.8126	640
MSTRG.32913	5472
MSTRG.32912	280
MSTRG.32911	0
MSTRG.32910	3358
MSTRG.32917	5105
MSTRG.32916	175
MSTRG.32915	71
MSTRG.32914	10
MSTRG.24903	2
MSTRG.24902	0
MSTRG.24901	0
MSTRG.24900	0
MSTRG.24906	1
MSTRG.18522	0
MSTRG.24302	3218
MSTRG.18523	151
MSTRG.18520	331
MSTRG.6593	14
MSTRG.18521	0
MSTRG.6592	21
MSTRG.18526	386
MSTRG.38728	382
MSTRG.18527	0
MSTRG.38729	1375
MSTRG.18524	241
MSTRG.34256	154
MSTRG.12419	1
MSTRG.6596	1563
MSTRG.24008	0
MSTRG.24009	2
MSTRG.6595	1279
MSTRG.24002	102
MSTRG.24003	2320
MSTRG.24000	382
MSTRG.28777	9
MSTRG.24006	4432
MSTRG.24007	0
MSTRG.24004	144
MSTRG.24005	75
MSTRG.38722	864
MSTRG.22893	674
MSTRG.1908	2074
MSTRG.34258	85
MSTRG.13995	9
MSTRG.34259	1055
MSTRG.22892	1
MSTRG.1400	127
MSTRG.1401	2
MSTRG.30288	0
MSTRG.1408	0
MSTRG.1409	902
MSTRG.22992	249
MSTRG.23850	0
MSTRG.23851	21
MSTRG.23852	104
MSTRG.23853	811
MSTRG.23854	768
MSTRG.23855	8
MSTRG.23856	0
MSTRG.23857	0
MSTRG.23858	789
MSTRG.23859	12
MSTRG.8232	50
MSTRG.21980	366
MSTRG.21981	24
MSTRG.21982	0
MSTRG.21983	0
MSTRG.21984	5
MSTRG.21985	0
MSTRG.21986	167
MSTRG.21987	1487
MSTRG.21988	76
MSTRG.21989	77
MSTRG.30116	469
MSTRG.1963	0
MSTRG.13918	1412
MSTRG.13919	535
MSTRG.13916	0
MSTRG.13917	163
MSTRG.13914	105
MSTRG.13915	0
MSTRG.13912	50
MSTRG.13913	5076
MSTRG.13910	986
MSTRG.13911	692
MSTRG.26512	1400
MSTRG.26513	0
MSTRG.26510	63
MSTRG.26511	2187
MSTRG.26516	757
MSTRG.26517	127
MSTRG.26514	269
MSTRG.26515	485
MSTRG.26518	1475
MSTRG.26519	183
MSTRG.12061	1646
MSTRG.12060	215
MSTRG.12063	2552
MSTRG.12062	347
MSTRG.12065	0
MSTRG.12064	342
MSTRG.12067	0
MSTRG.12066	0
MSTRG.12069	1859
MSTRG.12068	0
MSTRG.17747	2263
MSTRG.17746	1373
MSTRG.17745	96
MSTRG.17744	19
MSTRG.17743	1174
MSTRG.17742	11
MSTRG.17741	10
MSTRG.17740	2
MSTRG.17749	2057
MSTRG.17748	571
MSTRG.24859	43
MSTRG.24858	0
MSTRG.3022	5746
MSTRG.3023	10850
MSTRG.3024	48
MSTRG.3025	11
MSTRG.3026	0
MSTRG.3027	0
MSTRG.3028	3278
MSTRG.3029	4493
MSTRG.24853	0
MSTRG.24852	183
MSTRG.16296	381
MSTRG.24854	36
MSTRG.24857	5
MSTRG.24856	44
MSTRG.28169	0
MSTRG.28168	0
MSTRG.28165	2265
MSTRG.28164	126
MSTRG.28167	13
MSTRG.28166	236
MSTRG.28161	0
MSTRG.28160	14
MSTRG.28163	1097
MSTRG.28162	1430
MSTRG.30159	0
MSTRG.6903	35
MSTRG.32800	2
MSTRG.11749	8
MSTRG.9706	652
MSTRG.9705	0
MSTRG.9704	7533
