Gene stable ID	STRING ID
AT4G19990	
AT4G18380	
AT4G18380	
AT1G64110	
AT1G64110	
AT1G64110	
AT1G64110	3702.AT1G64110.2
AT1G64110	3702.AT1G64110.2
AT2G16710	3702.AT2G16710.3
AT2G16710	
AT2G16710	
AT5G47050	3702.AT5G47050.1
AT1G65220	3702.AT1G65220.1
AT1G13635	3702.AT1G13635.2
AT1G13635	3702.AT1G13635.2
AT4G27415	3702.AT4G27415.2
AT4G27415	3702.AT4G27415.2
AT2G29080	3702.AT2G29080.1
AT4G03635	3702.AT4G03635.1
AT5G45095	
AT3G45720	3702.AT3G45720.1
AT5G65000	
AT5G65000	3702.AT5G65000.1
AT2G46280	3702.AT2G46280.1
AT2G46280	3702.AT2G46280.1
AT2G46280	
AT4G34200	3702.AT4G34200.1
AT2G19870	3702.AT2G19870.1
AT5G35660	3702.AT5G35660.1
AT3G15548	3702.AT3G15548.1
AT5G34908	3702.AT5G34908.1
AT2G14210	
AT2G14210	3702.AT2G14210.1
AT5G59800	3702.AT5G59800.1
AT3G54530	
AT3G54530	
AT3G54530	3702.AT3G54530.1
AT1G54950	
AT2G28520	3702.AT2G28520.1
ATMG00850	
AT4G12800	3702.AT4G12800.1
AT4G12800	
AT3G62900	
AT3G62900	
AT3G62900	
AT3G54410	
AT1G55730	3702.AT1G55730.1
AT1G55730	3702.AT1G55730.1
AT1G07310	
AT1G77230	3702.AT1G77230.1
AT1G52400	
AT1G52400	3702.AT1G52400.3
AT1G52400	3702.AT1G52400.3
AT5G60580	
AT5G60580	3702.AT5G60580.4
AT5G60580	
AT5G60580	3702.AT5G60580.4
AT5G24790	3702.AT5G24790.1
AT5G48780	
AT5G48780	
AT5G41490	
AT3G22320	3702.AT3G22320.1
AT5G22820	
AT5G22820	
AT5G22820	
AT2G22345	3702.AT2G22345.1
AT2G44440	3702.AT2G44440.1
AT4G30993	
AT4G30993	3702.AT4G30993.2
AT4G30993	
AT3G57440	
AT3G57440	
AT5G60260	
AT5G14740	3702.AT5G14740.1
AT5G14740	
AT5G14740	
AT5G14740	
AT5G14740	
AT5G14740	
AT5G14740	
AT5G14740	
AT5G14740	
AT1G16430	3702.AT1G16430.1
AT5G66760	3702.AT5G66760.1
AT5G54225	
AT1G27752	
AT1G27752	3702.AT1G27752.1
AT3G09700	3702.AT3G09700.1
AT2G16580	3702.AT2G16580.1
AT5G47510	
AT5G47510	
AT5G47510	3702.AT5G47510.1
AT5G47510	
AT3G50390	3702.AT3G50390.1
AT1G14880	3702.AT1G14880.1
AT4G34350	3702.AT4G34350.1
AT4G14368	
AT4G14368	3702.AT4G14368.1
AT4G14368	
AT4G14368	
AT1G11190	3702.AT1G11190.1
AT2G30730	
AT2G30730	3702.AT2G30730.1
AT3G23070	3702.AT3G23070.1
AT5G16950	3702.AT5G16950.1
AT2G23690	3702.AT2G23690.1
AT2G40710	3702.AT2G40710.1
AT2G30925	3702.AT2G30925.1
AT3G14360	3702.AT3G14360.1
AT1G43100	3702.AT1G43100.1
AT2G31265	
AT1G26650	
AT5G43066	3702.AT5G43066.1
AT5G20300	3702.AT5G20300.2
AT5G20300	3702.AT5G20300.2
AT5G20300	3702.AT5G20300.2
AT5G20300	
AT5G20300	3702.AT5G20300.2
AT3G01550	
AT3G01550	3702.AT3G01550.1
AT5G49950	3702.AT5G49950.1
AT1G54420	
AT5G40530	
AT5G40530	
AT5G40530	3702.AT5G40530.2
AT5G40530	
AT2G02930	3702.AT2G02930.1
AT4G38730	3702.AT4G38730.1
AT4G22320	
AT4G22320	
AT2G32040	3702.AT2G32040.1
AT2G32040	
AT5G45850	
AT3G58010	3702.AT3G58010.1
AT3G58010	3702.AT3G58010.1
AT3G03740	3702.AT3G03740.1
AT3G53900	
AT3G53900	3702.AT3G53900.2
AT3G08970	3702.AT3G08970.1
