gene_id (Stringtie)	gene_id (Stringtie_gtf)	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	HG1	HG2	HG3	DG1	DG2	DG3	
MSTRG.34180	MSTRG.34180_jg31308	6014.539211	2.729292946	0.313374208	8.709373243	3.06E-18	6.98E-16	998.7780144	1813.521681	1913.584935	11534.83101	9497.954388	10328.56523	
MSTRG.27125	MSTRG.27125_jg17315	1967.716379	-4.656638238	0.534732389	-8.708352689	3.08E-18	6.98E-16	5973.049233	3310.641706	2072.710334	160.6789997	225.405153	63.81284786	
MSTRG.34118	MSTRG.34118_jg31249	2034.360647	3.160935869	0.363710123	8.690810806	3.60E-18	8.01E-16	310.3345973	466.8853688	448.8152299	5217.701211	2421.369081	3341.058392	
MSTRG.5948	MSTRG.5948_jg14760	185.9713648	-7.344572481	0.850376114	-8.63685181	5.78E-18	1.27E-15	290.7157435	496.4676374	322.3309378	0	6.313869832	0	
MSTRG.11651	MSTRG.11651_jg34051	35005.30568	4.254834874	0.494747485	8.600013152	7.97E-18	1.74E-15	1678.303771	3648.908516	5124.653898	50015.70492	43288.52296	106275.74	
MSTRG.13593	MSTRG.13593_jg21048	628.8249903	2.681449962	0.312483553	8.581091516	9.40E-18	2.04E-15	112.3625266	182.6383536	211.147165	1031.314666	1044.31407	1191.17316	
MSTRG.27110	MSTRG.27110_jg17300	1926.274242	-5.193062579	0.609165777	-8.524875776	1.53E-17	3.27E-15	7330.317213	2223.814884	1696.317562	96.93135305	157.8467458	52.41769646	
MSTRG.28145	MSTRG.28145_jg4324	1669.391728	-2.614125479	0.30677502	-8.521311424	1.58E-17	3.34E-15	3563.497273	2470.762517	2575.587399	493.3893196	340.3175839	572.7962772	
MSTRG.24679	MSTRG.24679_jg35916	4793.646012	3.483889235	0.409569952	8.506212971	1.80E-17	3.77E-15	429.8312526	766.5666111	1160.79939	6846.322594	8114.585508	11443.77072	
MSTRG.20478	MSTRG.20478_jg32869	812.7807527	2.717025612	0.321554672	8.449653658	2.92E-17	6.04E-15	230.0756497	176.2074257	237.6680649	973.6798077	1700.956533	1558.097035	
MSTRG.15483	MSTRG.15483_jg1684	571.592688	-2.311400283	0.2739358	-8.437744488	3.24E-17	6.64E-15	1139.677056	784.5732093	930.2715674	193.8627061	165.4233896	215.7481999	
MSTRG.14846	MSTRG.14846_jg22248	1755.394804	2.83303312	0.336596517	8.416703618	3.87E-17	7.88E-15	280.0145505	472.0301112	541.6383797	2393.593142	3232.069967	3613.022672	
MSTRG.35259	MSTRG.35259_jg18033	300.4775241	-2.532872403	0.301037623	-8.413806822	3.97E-17	8.02E-15	629.5868555	483.6057815	424.3343992	96.93135305	90.91972558	77.48702954	
MSTRG.21944	MSTRG.21944_jg28107	230.579363	2.714960526	0.323026774	8.40475386	4.29E-17	8.59E-15	67.77422241	56.59216592	59.16200758	386.8521568	481.1168812	331.9787442	
MSTRG.22534	MSTRG.22534_jg28674	1573.76281	2.643879353	0.31633945	8.357728862	6.39E-17	1.25E-14	313.9016617	442.4478426	543.6784489	3000.505667	3081.799865	2060.243374	
MSTRG.3372	MSTRG.3372_jg27433	1020.907096	3.397745078	0.407181268	8.34455154	7.15E-17	1.39E-14	272.8804218	145.3389716	115.2639113	1544.788861	1575.94191	2471.228501	
MSTRG.15344	MSTRG.15344_jg1562	1850.986606	-2.867101761	0.344083064	-8.332586118	7.91E-17	1.53E-14	4663.936621	2839.897781	2263.456807	489.0230424	368.7299982	480.8753892	
MSTRG.16610	MSTRG.16610_jg2761	821.9036902	2.492639616	0.299399154	8.325473139	8.40E-17	1.61E-14	185.4873455	236.6581484	319.270834	1509.858643	1188.901689	1491.24548	
MSTRG.34119	MSTRG.34119_jg31248	1034.629905	3.366823796	0.404813249	8.316980238	9.02E-17	1.72E-14	135.5484448	185.2107248	226.4476842	1034.807688	2205.434732	2420.330158	
MSTRG.28180	MSTRG.28180_jg4356	663.6602903	2.93649564	0.353614383	8.304231326	1.00E-16	1.90E-14	126.630784	189.0692816	143.8248805	838.3252156	1603.09155	1081.02003	
MSTRG.34830	MSTRG.34830_jg17619	1477.121388	2.858332114	0.344629463	8.293928456	1.10E-16	2.05E-14	210.4567959	409.0070173	451.8753337	2286.182723	2924.584506	2580.621955	
MSTRG.32588	MSTRG.32588_jg29668	13120.91038	-3.532078704	0.427483582	-8.262489723	1.43E-16	2.64E-14	36389.40684	19690.21518	16381.75589	2976.927771	1988.868997	1298.287583	
MSTRG.2083	MSTRG.2083_jg8387	479.6575511	-2.810500741	0.340798905	-8.246800974	1.63E-16	2.97E-14	1096.872284	722.8363011	699.7437448	123.129016	146.4817801	88.88218095	
MSTRG.2623	MSTRG.2623_jg26723	4001.013732	3.676488918	0.446150185	8.240473824	1.72E-16	3.11E-14	281.7980826	488.7505238	968.0128481	6947.620224	6623.880841	8696.019874	
MSTRG.20018	MSTRG.20018_jg32436	1058.007315	-2.938471928	0.358149214	-8.204602475	2.31E-16	4.13E-14	1219.936003	2150.502305	2245.096184	247.1312875	306.8540738	178.5240387	
MSTRG.32436	MSTRG.32436_jg29527	4887.965874	-2.48053291	0.30243705	-8.201815587	2.37E-16	4.20E-14	10044.85317	7901.038074	6925.01499	1964.824724	1164.908984	1327.1553	
MSTRG.27337	MSTRG.27337_jg17524	1245.138956	2.225076946	0.271398438	8.198562093	2.43E-16	4.29E-14	538.6267149	366.5628929	413.1140184	1803.272469	1913.733946	2435.523693	
MSTRG.25641	MSTRG.25641_jg36828	10953.22648	2.464995012	0.30086799	8.192945381	2.55E-16	4.46E-14	2381.015445	3771.096147	3923.053123	21867.18929	14681.01013	19095.99472	
MSTRG.24213	MSTRG.24213_jg35485	1083.46324	-2.865252233	0.349946798	-8.187679517	2.66E-16	4.63E-14	2047.49493	1965.29158	1703.457804	334.4568308	297.3832691	152.6950288	
MSTRG.38223	MSTRG.38223_jg11783	460.2393834	3.119740891	0.381942954	8.168080743	3.13E-16	5.41E-14	48.15536855	117.0428886	117.3039805	806.88802	811.3322734	860.7137693	
MSTRG.24850	MSTRG.24850_jg36071	726.6955092	2.358556876	0.289193566	8.155633994	3.47E-16	5.96E-14	219.3744567	198.0725807	292.749934	985.9053837	1282.97835	1381.09235	
